run_id,policy,seed,perplexity,memory_total_bytes,latency_ms_per_token,phase,results_dir
G2R02W_Q17B_s42,rank,42,15.832511821958452,,,qwen3_1p7b_gptq_proxy_ablation_s42,results/modal/qwen3_1p7b_gptq_proxy_ablation_s42/G2R02W_Q17B_s42
G2R02W_Q17B_s123,rank,123,15.691588854396954,,,qwen3_1p7b_gptq_proxy_ablation_s123,results/modal/qwen3_1p7b_gptq_proxy_ablation_s123/G2R02W_Q17B_s123
G2R02W_Q17B_s456,rank,456,15.935989588427736,,,qwen3_1p7b_gptq_proxy_ablation_s456,results/modal/qwen3_1p7b_gptq_proxy_ablation_s456/G2R02W_Q17B_s456
G2B02W_Q17B_s42,bits,42,15.85268919043782,,,qwen3_1p7b_gptq_proxy_ablation_s42,results/modal/qwen3_1p7b_gptq_proxy_ablation_s42/G2B02W_Q17B_s42
G2B02W_Q17B_s123,bits,123,15.694706165309384,,,qwen3_1p7b_gptq_proxy_ablation_s123,results/modal/qwen3_1p7b_gptq_proxy_ablation_s123/G2B02W_Q17B_s123
G2B02W_Q17B_s456,bits,456,15.938142398146889,,,qwen3_1p7b_gptq_proxy_ablation_s456,results/modal/qwen3_1p7b_gptq_proxy_ablation_s456/G2B02W_Q17B_s456
