run_id,policy,proxy_family,perplexity,memory_total_bytes,latency_ms_per_token,profiling_wall_time_s,selection_profiling_wall_time_s,selected_action_count
G2B02A_Q17B,bits,activation,15.899260789398474,1364308265,0.1391129113094287,12.489737606999995,15.118557725000016,7
G2B02W_Q17B,bits,weight,15.899260789398474,1364308265,0.1173230922456377,0.0004423659999588381,0.00040630199998759053,7
G2R02A_Q17B,rank,activation,15.92242279429855,1360965929,0.13058536370311455,10.075225353999997,12.518433388999995,48
G2R02W_Q17B,rank,weight,15.8822943408655,1360965929,0.120434612059311,0.0003715519999900607,0.0004013419999751022,48
